"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4347","Add item to cart: ZARA COAT 3","chromium","2026-07-29","passed","2026-07-29","test check ZARA COAT 3","dashboardPageTestJson.spec.ts","",""
"","4777","Add item to cart: iphone 13 pro","chromium","2026-07-29","passed","2026-07-29","","DPDDTUsingExcel.spec.ts","",""
"","1909","has title","chromium","2026-07-29","failed","2026-07-29","","example.spec.ts","",""
"","2879","view the product","chromium","2026-07-29","passed","2026-07-29","","dashboardPageTest.spec.ts","",""
"","1","test 2","chromium","2026-07-29","passed","2026-07-29","","hooks.spec.ts","",""
"","3856","Add item to cart: ADIDAS ORIGINAL","chromium","2026-07-29","passed","2026-07-29","","DPDDTUsingExcel.spec.ts","",""
"","3036","Login using valid details","chromium","2026-07-29","passed","2026-07-29","","loginPageTestJson.spec.ts","",""
"","4154","Add item to cart: ADIDAS ORIGINAL","chromium","2026-07-29","passed","2026-07-29","test check ADIDAS ORIGINAL","dashboardPageTestJson.spec.ts","",""
"","3543","View product details: iphone 13 pro","chromium","2026-07-29","passed","2026-07-29","test check iphone 13 pro","dashboardPageTestJson.spec.ts","",""
"","1","test 1","chromium","2026-07-29","passed","2026-07-29","","hooks.spec.ts","",""
"","3518","add item to cart","chromium","2026-07-29","passed","2026-07-29","","dashboardPageTest.spec.ts","",""
"","4767","Add item to cart: ZARA COAT 3","chromium","2026-07-29","passed","2026-07-29","","DPDDTUsingExcel.spec.ts","",""
"","2847","View product details: ADIDAS ORIGINAL","chromium","2026-07-29","passed","2026-07-29","test check ADIDAS ORIGINAL","dashboardPageTestJson.spec.ts","",""
"","2935","Login using valid details","chromium","2026-07-29","passed","2026-07-29","","loginPageTest.spec.ts","",""
"","2361","invalid login","chromium","2026-07-29","passed","2026-07-29","","loginPageTestJson.spec.ts","",""
"","4402","Add item to cart: iphone 13 pro","chromium","2026-07-29","passed","2026-07-29","test check iphone 13 pro","dashboardPageTestJson.spec.ts","",""
"","2958","View product details: ZARA COAT 3","chromium","2026-07-29","passed","2026-07-29","test check ZARA COAT 3","dashboardPageTestJson.spec.ts","",""
"","2","test 3","chromium","2026-07-29","passed","2026-07-29","","hooks.spec.ts","",""
"","1471","get started link","chromium","2026-07-29","failed","2026-07-29","","example.spec.ts","",""
"","2968","invalid login","chromium","2026-07-29","passed","2026-07-29","","loginPageTest.spec.ts","",""
